"ID","Description","Type","Category","Reference","Year","DOI","Lower moisture","Higher moisture","Fixed carbon","Volatile matter","Ash","HHV","LHV","Cellulose","Hemicellulose","Lignin","C","H","O","N","S","Cl","SiO2","CaO","Al2O3","Fe2O3","Na2O","K2O","MgO","P2O5","TiO2","SO3","Cr2O3"
"GrapeMarc","Dealcoholized grape marc","Biomass","Agricultural","Hernandez et al.",2010,"10.1021/ef901585f",7.24,,27.28,65.7,7,,20.23,,,,51.2,5.53,33.62,2.48,0.17,,7.53,22.53,2.08,1.4,0.53,29.1,3.77,6.95,0.14,4.97,
"GrapeStalk","Grape stalk","Biomass","Agricultural","Baratieri et al.",2008,"10.1016/j.biortech.2008.01.006",8,,,,4.8,,16.7,,,,41.3,6.2,39.6,0.1,,,,,,,,,,,,,
"Hemlock","Hemlock sawdust","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",8.8,15,,,0.4,20.3,,,,,51.8,6.2,40.6,0.6,0.38,,,,,,,,,,,,
"HighAshCoal","Brazilian subbituminous coal (average values)","Coal","Subbituminous","Kalkreuth et al.",2006,"10.1016/j.coal.2005.10.006",11.06,,25.09,20.29,42.71,13.38613,,,,,33.39,3.47,16.68,0.61,2.15,0.013,29.54,1.02,9.02,4.21,0.16,0.7,0.41,0.03,0.36,2.28,
"Highvale","Highvale subbituminous coal","Coal","Subbituminous","Li et al.",2001,"10.1016/S0016-2361(00)00074-0",10.4,,30.2,43.4,16,21.1,,,,,57.2,3.3,16.2,0.7,0.2,,,,,,,,,,,,
"IndonesianCoal","Indonesian tinto coal","Coal",,"Seo et al.",2010,"10.1021/ef100204s",3.12,,50.86,34.64,11.38,28.01,,,,,74.6,4.72,19.33,1.07,0.28,,41.4,6.36,17.79,28.21,0.24,2.5,2.9,,,,
"JapaneseCedar","Japanese cedar","Biomass","Wood","Kumabe et al.",2007,"10.1016/j.fuel.2006.08.026",5.2,,11.8,82.4,0.6,19.7,,,,,47.3,6.1,46.5,0.1,0,,,,,,,,,,,,
"LeaoCoal","Minas Leao coal","Coal","Subbituminous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leather","Footwear leather waste","Biomass","Animal","Godinho et al.",2007,"hdl.handle.net/10183/8958",14.1,,16.9,77.3,5.8,18.448,16.729,,,,50.72,8.76,25.4,12.78,1.88,0.46,23.58,1.2,7.35,2.59,1.08,0.79,,1.59,1.53,,55.91
"Leather1","Leather residue","Biomass","Animal","Dogru et al",,,11.23,,,,,,,,,,43.59,6.95,32.28,10.84,1.45,,,,,,,,,,,,
"Leucaena","Leucaena leucocephala wood","Biomass","Wood","Fuwape",1993,"10.1007/BF00705232",16.64,,,,0.63,13.45,,,,,41.71,5.88,51.12,0.6,0.04,,,,,,,,,,,,
"Mixed","Mixed sawdust","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",4.2,6.7,,,2.69,21.7,,,,,48.9,7.86,40.3,0.21,0.07,,,,,,,,,,,,
"MuliaCoal","Mulia coal","Coal",,"Kumabe et al.",2007,"10.1016/j.fuel.2006.08.026",32.3,,30.9,35.7,1.1,30.9,,,,,78.4,3.9,16.5,1.2,0,,,,,,,,,,,,
"PE","Polyethylene waste","Plastic",,"Pinto et al.",2003,"10.1016/S0016-2361(03)00160-1",0,0,0,0,0,46.12,,0,0,0,85.7,14.3,0,0,0,,,,,,,,,,,,
"Petcoke","Petroleum coke","Oil","Petcoke","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,9.6,0.3,35.1,,,,,87.6,3.8,0.9,1.5,6.2,,,,,,,,,,,,
